_id,Nr_Boczny,Nr_Rej,Brygada,Nazwa_Linii,Ostatnia_Pozycja_Szerokosc,Ostatnia_Pozycja_Dlugosc,Data_Aktualizacji
250,3311,None,,,51.0789451599121,17.0056343078613,2024-12-09 17:07:20.847000
251,3312,None,02304,23,51.1082801818848,17.0204391479492,2024-12-09 17:08:11.623000
252,3313,None,,,51.0785789489746,17.0034084320068,2024-08-23 12:19:04.843000
253,3314,None,,,51.0785942077637,17.0033874511719,2024-12-09 15:24:38.677000
254,3315,None,00603,6,51.125804901123,17.0465240478516,2024-12-09 17:08:14.830000
255,3316,None,01702,17,51.1085929870605,17.0387077331543,2024-12-09 17:08:11.677000
256,3317,None,00303,3,51.1447410583496,16.8827991485596,2024-12-09 17:08:14.817000
257,3318,None,02302,23,51.1012649536133,17.0298175811768,2024-12-09 17:08:11.583000
258,3319,None,00704,7,51.1479530334473,17.0300025939941,2024-12-09 17:08:08.947000
259,3320,None,00708,7,51.0657691955566,16.9872798919678,2024-12-09 17:08:08.617000
260,3321,None,02310,23,51.1285743713379,17.0554523468018,2024-10-02 14:43:50.780000
261,3322,None,02306,23,51.1284408569336,17.1017303466797,2024-12-09 17:08:08.903000
262,3323,None,01910,19,51.1052703857422,17.0793037414551,2024-12-09 17:08:11.763000
263,3324,None,01907,19,51.1177520751953,17.0315532684326,2024-12-09 17:08:14.703000
264,3325,None,01903,19,51.1391334533691,16.9653491973877,2024-12-09 17:08:16.810000
265,3326,None,02311,23,51.1305084228516,17.0602359771729,2024-12-09 17:08:11.823000
266,3327,None,L01,L,51.1029319763184,17.050724029541,2024-12-09 17:08:03.843000
267,3328,None,,,51.0786743164062,17.0046310424805,2024-02-26 07:34:49.377000
268,3329,None,01901,19,51.126148223877,17.0012378692627,2024-12-09 17:08:14.740000
269,3330,None,02301,23,51.1144256591797,16.9728927612305,2024-12-09 17:08:05.807000
270,3331,None,02307,23,51.1228103637695,17.0442848205566,2024-12-09 17:08:16.527000
271,3332,None,00713,17,51.0688247680664,17.0042457580566,2024-12-09 17:08:06.007000
272,3333,None,02313,23,51.1036491394043,17.0372772216797,2024-12-09 17:08:11.833000
273,3334,None,00712,17,51.1173210144043,17.0889148712158,2024-12-09 17:08:16.810000
274,3335,None,,,51.0789794921875,17.0049114227295,2024-10-30 16:41:24.787000
275,3336,None,01907,19,51.1262741088867,16.9968223571777,2024-12-03 07:40:15.857000
276,3337,None,02314,23,51.1111183166504,17.0392227172852,2024-12-09 17:08:11.747000
277,3338,None,01904,19,51.1166038513184,17.0526485443115,2024-12-09 17:08:08.893000
278,3339,None,01902,19,51.1428413391113,16.9622993469238,2024-12-09 17:08:16.807000
279,3340,None,,,51.0786781311035,17.0047359466553,2024-12-09 17:08:04.033000
280,3341,None,02309,23,51.1195449829102,16.9529705047607,2024-12-09 17:08:16.597000
281,3342,None,00711,17,51.1139984130859,17.1033248901367,2024-12-09 17:08:03.797000
282,3343,None,00207,,51.0788116455078,17.0039653778076,2024-12-09 17:07:44.740000
283,3344,None,02006,2,51.0751609802246,17.0072135925293,2024-12-09 17:08:14.660000
284,3345,None,01905,19,51.1055030822754,17.0795993804932,2024-12-09 17:08:11.530000
285,3346,None,01707,7,51.1043357849121,17.0308494567871,2024-12-09 17:08:05.997000
286,3401,None,01404,14,51.089558,17.000776,2024-12-09 17:08:15.673000
287,3402,None,None,14,51.104155,17.020551,2024-12-09 17:08:08.957000
288,3403,None,None,14,51.086113,17.011713,2024-12-09 17:08:16.307000
289,3404,None,None,12,51.111205,17.02695,2024-12-09 17:08:16.057000
290,3405,None,None,None,51.078071,17.00668,2024-12-09 17:08:06.147000
291,3406,None,None,None,51.079319,17.003648,2024-12-03 09:15:20.843000
292,3407,None,None,13,51.111277,17.023716,2024-12-09 17:08:18.547000
293,3408,None,None,13,51.111707,17.060517,2024-12-09 17:08:12.803000
294,3409,None,None,12,51.130008,16.982402,2024-12-09 17:08:12.647000
295,3410,None,None,20,51.137164,16.941441,2024-12-09 17:07:43.147000
296,3411,None,None,14,51.132693,17.028111,2024-12-09 17:08:04.543000
297,3412,None,01208,12,51.113907,17.096919,2024-12-09 17:08:14.227000
298,3413,None,None,5,51.099415,17.000364,2024-12-09 17:08:15.630000
299,3414,None,None,12,51.142761,16.962558,2024-12-09 17:08:10.207000
300,3415,None,None,14,51.073185,17.00637,2024-12-09 17:08:10.737000
301,3416,None,01406,14,51.116095,17.024834,2024-12-09 17:08:18.517000
302,3417,None,None,None,51.078342,17.005537,2024-12-09 17:08:09.447000
303,3418,None,None,None,51.078174,17.00627,2024-12-09 17:08:15.387000
304,3419,None,None,14,51.137455,16.994522,2024-12-09 17:08:11.873000
305,3420,None,None,12,51.111857,17.021071,2024-12-09 17:08:09.783000
306,3421,None,None,None,51.078197,17.005928,2024-12-09 17:08:18.287000
307,3422,None,None,13,51.114189,16.978803,2024-12-09 17:08:12.187000
308,3423,None,None,13,51.115839,17.090036,2024-12-09 17:08:06.010000
309,3424,None,None,None,53.147259,18.004841,2024-12-09 17:08:07.543000
310,4005,-,1,,51.1314468383789,16.9869270324707,2024-12-09 17:08:16.530000
311,4400,None,,,51.0763664245605,17.0706233978271,2024-06-20 18:56:00.287000
312,4401,None,12501,,51.076847076416,17.0704441070557,2024-12-08 12:58:25.607000
313,4402,None,13601,136,51.0916137695312,16.9863567352295,2024-12-08 12:57:53.493000
314,4403,None,13603,,51.076286315918,17.070764541626,2024-12-08 12:58:56.590000
315,4404,None,14901,,51.1210060119629,16.9461631774902,2024-11-19 08:21:52.593000
316,4405,None,13306,133,51.0751991271973,16.9962215423584,2024-12-09 17:08:14.707000
317,4406,None,,,51.0764389038086,17.0704193115234,2024-12-08 00:59:28.600000
318,4407,None,12503,,51.0760612487793,16.9530773162842,2024-12-08 12:57:33.530000
319,4408,None,,,51.0763206481934,17.0708084106445,2024-12-07 01:47:18.543000
320,4409,None,12002,120,51.0922470092773,17.0908508300781,2024-12-09 17:07:17.600000
321,4410,None,,,51.0762519836426,17.0710067749023,2024-12-09 17:07:28.917000
322,4411,None,12502,125,51.0778312683105,17.0647296905518,2024-12-08 12:59:02.567000
323,4412,None,13305,133,51.0875930786133,17.013111114502,2024-12-08 12:59:02.617000
324,4413,None,,,51.0764808654785,17.0707874298096,2024-12-08 12:58:37.513000
325,4414,None,31002,,51.0763740539551,17.0712299346924,2024-10-17 11:58:42.727000
326,4415,None,None,None,51.1088523864746,17.0415668487549,2024-12-09 17:07:25.867000
327,4416,None,13603,,51.1374816894531,16.96852684021,2024-12-08 12:58:56.617000
328,4417,None,,,51.0762329101562,17.0705986022949,2024-11-19 04:24:22.507000
329,4418,None,12501,,51.0942611694336,16.9792194366455,2024-12-08 12:58:56.590000
330,4427,None,13302,,51.0553245544434,16.9779644012451,2024-12-08 12:58:50.540000
331,4500,None,,100,51.0765914916992,17.0513343811035,2024-12-08 12:58:31.533000
332,4502,None,,,51.0764465332031,17.0712509155273,2024-12-09 17:07:38.697000
333,4504,None,14703,,51.0771560668945,17.0698623657227,2024-12-02 23:12:12.683000
334,4506,None,15004,,51.1425361633301,17.128547668457,2024-12-09 17:07:57.813000
335,4600,None,13310,133,51.0608596801758,16.9752883911133,2024-12-09 17:08:14.617000
336,4601,None,11305,112,51.0726013183594,17.0325698852539,2024-12-08 06:50:06.560000
337,4602,None,,,50.0248527526855,19.3104991912842,2024-12-04 23:07:26.537000
338,4603,None,11303,113,51.074634552002,17.007495880127,2024-12-09 17:08:05.803000
339,4604,None,13611,136,51.0775146484375,17.0625247955322,2024-12-09 17:08:16.877000
340,4605,None,1,,50.029914855957,19.2061100006104,2024-12-08 12:57:53.530000
341,4606,None,11308,112,51.0749778747559,17.0063076019287,2022-08-22 13:28:43.300000
342,4607,None,13602,,51.0772743225098,17.0708866119385,2024-12-08 12:59:31.587000
343,4608,None,1,,50.0311737060547,19.1936473846436,2024-12-09 16:22:15.560000
344,4609,None,,,54.4561195373535,18.4512920379639,2024-11-21 10:40:02.670000
345,4610,None,13304,,51.0589942932129,17.0865917205811,2024-12-08 12:57:09.633000
346,4611,None,11303,,51.3027534484863,17.6342926025391,2024-04-30 11:22:50.323000
347,4612,None,12515,125,51.0639038085938,17.0834140777588,2024-12-09 17:08:05.550000
348,4614,None,13608,136,51.0830993652344,17.0348777770996,2024-12-09 17:08:14.710000
349,4615,None,12503,,51.0831527709961,17.0502681732178,2024-11-19 08:19:14.627000
350,4616,None,11305,113,51.0839805603027,17.0352764129639,2024-12-09 17:08:16.540000
351,4617,None,,,51.077278137207,17.0710830688477,2024-12-08 12:59:31.570000
352,4618,None,13605,136,51.1299247741699,16.9657402038574,2024-12-08 12:57:40.510000
353,4619,None,13604,136,51.1216201782227,16.9681510925293,2024-12-09 17:08:08.813000
354,4620,None,11303,113,51.0743942260742,17.0067272186279,2024-12-08 12:59:02.600000
355,4621,None,11302,112,51.0493202209473,16.9999198913574,2024-12-08 12:57:53.530000
356,4622,None,,,51.0767631530762,17.0711708068848,2024-12-08 12:58:12.497000
357,4623,None,,,51.0764541625977,17.0708084106445,2024-04-15 15:39:17.330000
358,4624,None,,,52.7555046081543,17.27952003479,2024-12-09 17:08:00.653000
359,4625,None,,,50.0332527160645,19.1809959411621,2024-12-08 12:58:31.510000
360,4626,None,12508,,51.0931549072266,16.9815559387207,2024-12-09 17:08:05.887000
361,4627,None,,,50.0316123962402,19.1934852600098,2024-11-13 07:49:03.733000
362,4628,None,11306,113,51.0573120117188,17.0215759277344,2024-12-09 17:08:03.600000
363,4629,None,13312,,51.0434532165527,17.0612545013428,2024-12-03 14:10:28.603000
364,4630,None,11309,,51.0769004821777,17.0710849761963,2024-12-08 12:58:50.553000
365,4631,None,,,50.0315551757812,19.1935424804688,2024-12-04 11:03:05.680000
366,4632,None,12505,125,51.0778007507324,16.9639263153076,2024-12-09 17:08:08.920000
367,4633,None,11301,113,51.0825614929199,17.0344581604004,2024-12-08 12:58:44.503000
368,4634,None,11301,,51.0769386291504,17.0711517333984,2024-12-08 12:58:31.590000
369,4635,None,14804,148,51.126220703125,16.9083442687988,2024-12-08 12:58:56.603000
370,4636,None,13302,133,51.0518760681152,16.9742164611816,2024-12-09 17:08:08.893000
371,4637,None,,,54.4560966491699,18.4511756896973,2024-11-18 10:06:46.677000
372,4638,None,13607,136,51.1296119689941,16.9658336639404,2024-12-09 17:08:05.603000
373,4639,None,11311,113,51.0673637390137,17.0036697387695,2024-12-09 17:08:16.917000
374,4640,None,11308,112,51.0574607849121,17.02294921875,2024-12-09 17:08:16.830000
375,4641,None,,,53.6690406799316,18.6392154693604,2024-10-28 13:47:08.517000
376,4642,None,13312,133,51.0870323181152,17.0127620697021,2024-12-09 17:08:05.517000
377,4801,-,None,None,51.0670547485352,17.0986194610596,2023-07-09 21:29:01.523000
378,4807,-,None,None,51.1492080688477,17.0239391326904,2022-09-26 09:21:55.910000
379,4808,-,,,51.0668106079102,17.0991249084473,2023-02-17 13:21:15.367000
380,4810,-,,,51.0665893554688,17.0993785858154,2022-10-13 09:22:55.650000
381,4811,-,,,51.0667343139648,17.0992298126221,2022-10-13 09:32:45.753000
382,5,-,None,None,51.1241416931152,17.0412769317627,2022-12-09 11:34:20.407000
383,5401,None,12916,129,51.1200218200684,16.9702491760254,2024-12-09 17:08:05.647000
384,5402,None,14210,142,51.1155776977539,16.9583969116211,2024-12-09 17:08:08.783000
385,5403,None,10107,101,51.1600494384766,16.8937702178955,2024-12-09 17:08:11.853000
386,5404,None,14301,143,51.080867767334,17.0622310638428,2024-12-09 17:08:14.617000
387,5405,None,10204,102,51.1585388183594,16.9156627655029,2024-12-08 12:59:31.607000
388,5406,None,11104,,51.1598320007324,17.13330078125,2024-12-08 12:58:56.567000
389,5407,None,12905,129,51.121395111084,16.9435634613037,2024-12-08 12:57:53.540000
390,5408,None,10201,102,51.1491546630859,16.9452304840088,2024-12-08 12:59:02.540000
391,5409,None,12610,126,51.1147613525391,16.9582767486572,2024-12-09 17:08:14.853000
392,5410,None,10206,,51.1477928161621,17.0233116149902,2024-12-08 12:58:50.537000
393,5411,None,31908,319,51.0635871887207,16.9817314147949,2024-12-09 17:08:11.627000
394,5412,None,15107,151,51.1673545837402,17.1060352325439,2024-12-09 17:08:16.507000
395,5413,None,15102,,51.1122589111328,17.0574970245361,2024-12-08 12:58:37.497000
396,5414,None,14904,149,51.1137351989746,16.9644966125488,2024-12-08 12:58:56.527000
397,5415,None,12103,,51.1457061767578,17.148551940918,2024-12-08 12:59:02.683000
398,5416,None,14406,144,51.0861625671387,17.012544631958,2024-12-08 12:58:25.517000
399,5417,None,14202,142,51.1204872131348,16.8630542755127,2024-12-08 12:58:56.543000
400,5418,None,12705,127,51.1415214538574,16.9637050628662,2024-12-08 12:59:02.580000
401,5419,None,13002,,51.1596565246582,17.1333026885986,2024-12-08 12:58:50.520000
402,5420,None,11601,116,51.1409683227539,17.0622024536133,2024-12-09 17:08:16.887000
403,5421,None,24922,,51.1494369506836,17.0219860076904,2024-12-08 12:58:31.517000
404,5422,None,15201,,51.1435317993164,16.9479427337646,2024-12-08 12:59:02.593000
405,5423,None,10701,107,51.067268371582,16.9919128417969,2024-12-08 12:59:02.533000
406,5424,None,13001,,51.166187286377,17.0469779968262,2024-12-08 12:58:18.530000
407,5425,None,12703,127,51.0889930725098,17.0067253112793,2024-12-09 17:08:16.767000
408,5426,None,15103,151,51.1484298706055,17.1144771575928,2024-12-08 12:58:25.587000
409,5427,None,14401,144,51.0867385864258,17.0111827850342,2024-12-08 12:58:44.567000
410,5428,None,10406,104,51.1375389099121,16.994421005249,2024-12-09 17:08:11.737000
411,5429,None,11108,111,51.1134986877441,17.0527324676514,2024-12-09 17:08:08.967000
412,5430,None,None,None,51.1966743469238,16.9751567840576,2024-12-09 17:07:33.847000
413,5431,None,14306,143,51.1035652160645,16.9719696044922,2024-12-08 12:59:02.543000
414,5432,None,12901,,51.1102142333984,16.8795948028564,2024-12-08 12:59:02.547000
415,5433,None,13003,130,51.1345710754395,17.0584411621094,2024-12-08 12:58:56.573000
416,5434,None,10402,104,51.1470527648926,16.9881649017334,2024-12-08 12:58:18.623000
417,5435,None,,,51.1490211486816,17.0213966369629,2024-12-04 12:49:23.513000
418,5436,None,11101,111,51.1172752380371,17.0442409515381,2024-12-09 17:08:08.930000
419,5437,None,11602,116,51.1318855285645,17.0653667449951,2024-12-09 17:08:11.593000
420,5438,None,12702,127,51.0644874572754,17.009521484375,2024-12-08 12:59:31.567000
421,5439,None,13001,130,51.1555862426758,17.0441474914551,2024-12-04 15:58:21.657000
422,5440,None,10702,107,51.1167793273926,16.9587287902832,2024-12-08 12:59:02.663000
423,5441,None,12711,127,51.1420669555664,16.9565162658691,2024-12-09 17:08:16.890000
424,5442,None,None,None,51.0971069335938,17.0373020172119,2024-11-20 01:26:48.643000
425,5443,None,31902,,51.1484336853027,17.0229892730713,2024-12-09 17:07:41.627000
426,5444,None,10402,104,51.1379661560059,16.9944000244141,2024-12-09 17:08:08.540000
427,5445,None,14902,149,51.1143569946289,16.9707584381104,2024-12-08 12:59:31.613000
428,5483,None,None,None,51.095060667,16.961589167,2022-09-20 23:35:26.007000
429,5493,None,None,930,51.1731185,17.048039667,2023-02-27 11:17:54.780000
430,5513,None,None,None,51.1340945,17.0617155,2023-02-27 12:51:17.587000
431,5523,None,None,None,51.141066833,17.026832333,2023-02-27 13:23:15.577000
432,5533,None,None,None,51.135910667,17.036710333,2023-02-27 11:29:06.287000
433,5543,None,None,None,51.134755333,17.036489833,2023-02-27 11:29:14.047000
434,5553,None,None,None,51.134032167,17.061767333,2023-02-27 12:49:41.637000
435,5601,None,A08,A,51.073860168457,17.0036659240723,2024-12-09 17:08:16.910000
436,5602,None,,,51.1468391418457,17.02463722229,2024-12-07 07:36:05.733000
437,5603,None,60713,,51.0237998962402,16.9067344665527,2024-12-09 17:08:16.707000
438,5604,None,14511,,51.1469345092773,17.0244903564453,2024-12-07 07:36:27.660000
439,5605,None,14510,145,51.0448799133301,17.060941696167,2024-12-09 17:08:08.643000
440,5606,None,10206,,51.1471061706543,17.0244064331055,2024-12-07 07:37:43.777000
441,5607,None,14505,145,51.0993919372559,17.0386600494385,2024-12-09 17:08:11.817000
442,5608,None,10206,102,51.1367454528809,16.966459274292,2024-12-09 17:08:08.833000
443,5609,None,10310,103,51.1523246765137,16.9408359527588,2024-12-09 17:08:08.703000
444,5610,None,10301,103,51.128791809082,16.9894142150879,2024-12-09 17:08:16.947000
445,5611,None,,,51.1474800109863,17.0234870910645,2024-12-07 07:39:23.987000
446,5612,None,,,51.1481781005859,17.0234127044678,2024-09-18 20:41:23.813000
447,6001,DW 7WU01,K12,K,51.0880470275879,17.0346965789795,2024-12-09 17:08:16.900000
448,6002,DW 7WU02,K11,K,51.1506080627441,17.0433197021484,2024-12-09 17:08:08.990000
449,6003,DW 7WU03,K14,K,51.0994682312012,17.0338973999023,2024-12-09 17:08:11.767000
450,6004,DW 7WU04,K13,K,51.1393928527832,17.0330963134766,2024-12-09 17:08:14.863000
451,6005,DW 7WU05,K07,K,51.0889930725098,17.0341243743896,2024-12-09 17:08:08.667000
452,6006,DW 7WU06,11012,110,51.0513153076172,17.0584735870361,2024-12-09 17:08:05.830000
453,6007,DW 7WU07,K09,K,51.1262283325195,17.0279140472412,2024-12-09 17:08:14.873000
454,6008,DW 7WU08,11014,110,51.0967636108398,17.0402660369873,2024-12-09 17:08:05.917000
455,6009,DW 7WU09,K06,K,51.1373062133789,17.0179386138916,2024-12-09 17:08:11.627000
456,6010,DW 7WU10,,,51.1472930908203,17.0230331420898,2024-12-09 13:24:41.703000
457,6011,DW 7WU11,K03,K,51.1120643615723,17.0273761749268,2024-12-09 17:08:08.953000
458,6012,DW 7WU12,K01,,51.1471138000488,17.023157119751,2024-12-09 10:09:34.603000
459,6013,DW 7WU13,K02,K,51.1080474853516,17.02978515625,2024-12-09 17:08:08.957000
460,7004,DW3987J,,,54.5531539916992,17.7985401153564,2022-10-03 15:53:05.910000
461,7011,DW3980J,None,None,51.1492919921875,17.0231399536133,2023-08-04 10:59:51.750000
462,7035,DW8037U,,,51.1475944519043,17.023286819458,2024-11-28 12:12:47.817000
463,7300,DW364GT,14312,,51.08837890625,17.0342674255371,2024-12-09 17:08:11.793000
464,7301,DW293GR,,,51.1484718322754,17.0230255126953,2024-12-09 17:08:11.677000
465,7302,DW270FU,12101,,51.1116218566895,17.0600681304932,2024-12-08 12:57:40.547000
466,7303,DW705FU,14204,142,51.1340484619141,17.0171546936035,2024-12-08 12:59:02.593000
467,7304,DW704FU,10502,,51.100456237793,17.0871067047119,2024-12-09 17:08:11.850000
468,7305,DW604FU,14302,,51.114070892334,17.1036071777344,2024-12-08 12:58:56.540000
469,7306,DW266FU,12709,127,51.1025352478027,17.0128784179688,2024-12-09 17:08:16.853000
470,7307,DW510GT,14319,143,51.0820541381836,17.0619373321533,2024-12-09 17:08:14.587000
471,7308,DW265FU,,,51.1493377685547,17.0234050750732,2024-12-08 12:58:31.590000
472,7309,DW703FU,11604,116,51.1400184631348,17.0698719024658,2024-12-09 17:08:11.520000
473,7310,DW264FU,12203,,51.1041259765625,17.0228023529053,2024-12-09 17:08:04.007000
589,8315,DW875GS,,,51.1469993591309,17.0238609313965,2024-12-08 12:58:56.573000
474,7311,DW046GT,10103,101,51.1446418762207,16.8712100982666,2024-12-09 17:08:08.667000
475,7312,DW291GR,12705,127,51.1450157165527,16.9490280151367,2024-12-09 17:08:08.547000
476,7313,DW508GT,12102,121,51.1456718444824,17.1167125701904,2024-12-08 12:58:18.537000
477,7314,DW391GT,10106,101,51.1402626037598,16.958854675293,2024-12-09 17:08:16.770000
478,7315,DW047GT,None,None,51.1485252380371,17.0210380554199,2024-12-08 12:52:54.603000
479,7316,DW049GT,11103,111,51.130298614502,17.0370407104492,2024-12-09 17:08:16.743000
480,7317,DW390GT,14215,142,51.1113624572754,17.0245094299316,2024-12-09 17:08:05.543000
481,7318,DW509GT,,,51.1491928100586,17.0232391357422,2024-12-08 12:59:02.677000
482,7319,DW289GR,1,,51.1492729187012,17.0230941772461,2024-12-03 17:26:52.667000
483,7320,DW389GT,,,51.1463737487793,17.022632598877,2024-12-09 17:07:28.517000
484,7321,DW575GS,31907,319,51.150333404541,17.0435409545898,2024-12-09 17:08:16.603000
485,7322,DW852GS,14308,143,51.0789337158203,16.9903125762939,2024-12-09 17:08:00.540000
486,7323,DW854GS,12615,126,51.1015243530273,17.0136108398438,2024-12-09 17:08:08.833000
487,7324,DW568GS,13411,,51.1491546630859,17.0228862762451,2024-12-08 12:58:18.573000
488,7325,DW571GS,14209,142,51.1281661987305,17.0276641845703,2024-12-09 17:08:14.620000
489,7326,DW573GS,13409,134,51.0852928161621,17.0718612670898,2024-12-08 12:59:31.510000
490,7327,DW570GS,10312,103,51.1452789306641,16.9491691589355,2024-12-09 17:08:16.577000
491,7328,DW572GS,14405,144,51.1071281433105,17.0215301513672,2024-12-08 10:40:33.580000
492,7329,DW574GS,12208,122,51.1063957214355,16.9503135681152,2024-12-08 12:59:31.530000
493,7330,DW851GS,10311,103,51.1216888427734,17.0124988555908,2024-12-09 17:08:14.570000
494,7331,DW853GS,31901,,51.1489791870117,17.022632598877,2024-12-09 17:08:00.763000
495,7332,DW860GS,,,51.1491203308105,17.0228672027588,2024-11-17 20:04:49.647000
496,7333,DW859GS,10504,,51.1320381164551,17.0657424926758,2024-12-08 12:58:50.493000
